masked,answer
_б_туриент,абитуриент
_б_немент,абонемент
_бр_кос,абрикос
_к_демия,академия
_кв_рель,акварель
_кк_мпанемент,аккомпанемент
_нн_тация,аннотация
_нтр_соли,антресоли
_п_лляция,апелляция
_пл_дисменты,аплодисменты
_пп_ратура,аппаратура
_пп_тит,аппетит
_р_мат,аромат
_рх_тектор,архитектор
_рх_тектура,архитектура
_сф_льт,асфальт
_тм_сфера,атмосфера
_ттр_кцион,аттракцион
__кцион,аукцион
б_г_ж,багаж
б_гр_вый,багровый
б_дм_нтон,бадминтон
б_л_нс,баланс
б_лк_н,балкон
б_р_льеф,барельеф
б_ск_тбол,баскетбол
б_сс_йн,бассейн
б_р_чь,беречь
б_р_за,берёза
б_р_зовый,бирюзовый
б_г_тырь,богатырь
бр_ш_ра,брошюра
б_лл_тень,бюллетень
в_кц_на,вакцина
в_р_ант,вариант
в_л_сипед,велосипед
в_нт_лятор,вентилятор
в_рм_шель,вермишель
в_ст_бюль,вестибюль
в_т_ран,ветеран
в_н_грет,винегрет
в_рт_альный,виртуальный
в_рт_оз,виртуоз
в_тр_ж,витраж
вл_д_лец,владелец
в_зр_жение,возражение
в_кз_л,вокзал
в_л_йбол,волейбол
в__бражение,воображение
в_пл_щение,воплощение
вп_ч_тление,впечатление
в_р_зительный,выразительный
г_з_н,газон
г_л_ктика,галактика
г_л_рея,галерея
г_рм_ния,гармония
г_рн_зон,гарнизон
г__логия,геология
г_р_й,герой
г_п_теза,гипотеза
г_р_зонт,горизонт
г_рм_н,гормон
г_р_чий,горячий
гр_мм_тика,грамматика
гр_м_тный,грамотный
гр_м_дный,громадный
гр_м_здкий,громоздкий
д_б_ты,дебаты
д_кл_рация,декларация
д_к_рация,декорация
д_л_катес,деликатес
д_л_катный,деликатный
д_м_крат,демократ
д_м_нстрация,демонстрация
д__лог,диалог
д__пазон,диапазон
д_н_мика,динамика
д_р_жёр,дирижёр
д_сп_тчер,диспетчер
д_ст_нция,дистанция
д_сц_плина,дисциплина
ж_л_ние,желание
ж_р_ф,жираф
ж_к_й,жокей
ж_нгл_р,жонглёр
ж_р_,жюри
зн_к_мый,знакомый
зн_м_нитый,знаменитый
зн_м_новать,знаменовать
_гн_рировать,игнорировать
_д_ал,идеал
_жд_венец,иждивенец
_лл_зия,иллюзия
_нд_вид,индивид
_н_й,иней
_нж_нер,инженер
_н_циатива,инициатива
_нт_ллект,интеллект
_нт_ллигент,интеллигент
_нт_нсивный,интенсивный
_нт_рьер,интерьер
_ск_жение,искажение
_ст_на,истина
к_м_рка,каморка
к_мп_ния,кампания
к_н_кулы,каникулы
к_н_тель,канитель
к_н_нада,канонада
к_нц_лярия,канцелярия
к_п_шон,капюшон
к_рд_нальный,кардинальный
к_р_катура,карикатура
к_с_тка,касатка
к_т_комба,катакомба
к_т_строфа,катастрофа
кв_л_фикация,квалификация
кв_т_нция,квитанция
к_н_матограф,кинематограф
к_в_рный,коварный
к_лд_н,колдун
к_л_бание,колебание
к_лл_ктив,коллектив
к_лл_кция,коллекция
к_л_ссальный,колоссальный
к_л_хаться,колыхаться
к_мб_нация,комбинация
к_м_дия,комедия
к_мп_ния,компания
к_мп_тенция,компетенция
к_мп_нент,компонент
к_мпь_тер,компьютер
к_мф_рт,комфорт
к_нв_рт,конверт
к_нк_рент,конкурент
к_нт_нент,континент
к_нф_ренция,конференция
к_нфл_кт,конфликт
к_нф_рка,конфорка
к_рз_на,корзина
к_р_фей,корифей
к_р_чневый,коричневый
к_р_ль,король
к_с_тка,косатка
к_см_с,космос
кр_м_шный,кромешный
л_б_ринт,лабиринт
л_дь_,ладья
л_г_нда,легенда
л_л_ять,лелеять
л_б_рал,либерал
л_нгв_стика,лингвистика
м_ж_р,мажор
м_т_риал,материал
мгн_в_ние,мгновение
м_нт_литет,менталитет
м_р_диан,меридиан
м_р_приятие,мероприятие
м_т_фора,метафора
м_х_низм,механизм
м_н_рал,минерал
м_н_р,минор
м_н_лит,монолит
м_р_торий,мораторий
м_т_в,мотив
м_т_ж,мятеж
н_в_ждение,наваждение
н_с_комые,насекомые
